427;Matteo Ruggeri;it ITA;DF;Atlético Madrid;23-183;2002;13;9;774;8.6;0;0;0;0;0;0;2;0;0.1;0.1;0.7;0.7;16;37;50;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.09;0.01;0.09;Matches
428;Aitor Ruibal;es ESP;FW,DF;Betis;29-294;1996;14;8;780;8.7;3;1;4;3;0;0;2;0;2.4;2.4;1.2;3.6;9;33;43;0.35;0.12;0.46;0.35;0.46;0.28;0.14;0.42;0.28;0.42;Matches
429;Abel Ruiz;es ESP;FW,MF;Girona;25-347;2000;3;0;37;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;0;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
430;Mathew Ryan;au AUS;GK;Levante;33-277;1992;15;15;1,35;15.0;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
431;Umar Sadiq;ng NGA;FW;Real Sociedad;28-342;1997;5;2;153;1.7;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;0;0;6;0.00;0.00;0.00;0.00;0.00;0.11;0.03;0.14;0.11;0.14;Matches
432;Jan Salas;es ESP;MF;Mallorca;20-153;2005;2;0;17;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
433;Kike Salas;es ESP;DF;Sevilla;23-262;2002;7;5;502;5.6;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.2;2;29;5;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03;Matches
434;José Salinas;es ESP;DF,FW;Espanyol;25-102;2000;8;1;141;1.6;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;3;8;21;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.00;0.07;Matches
435;Oihan Sancet;es ESP;MF;Athletic Club;25-260;2000;14;13;945;10.5;1;0;1;0;1;1;1;1;3.0;2.2;0.8;3.0;21;48;71;0.10;0.00;0.10;0.00;0.00;0.28;0.08;0.36;0.21;0.29;Matches
436;Alexis Sánchez;cl CHI;FW,MF;Sevilla;37-022;1988;13;6;703;7.8;2;1;3;1;1;1;1;0;1.6;0.8;1.2;2.0;6;35;34;0.26;0.13;0.38;0.13;0.26;0.21;0.15;0.36;0.11;0.26;Matches
437;Antonio Sánchez;es ESP;MF,FW;Mallorca;29-009;1997;14;5;554;6.2;0;0;0;0;0;0;4;1;0.1;0.1;0.5;0.6;6;21;22;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.10;0.01;0.10;Matches
438;Juanlu Sánchez;es ESP;DF,FW;Sevilla;22-148;2003;14;11;993;11.0;0;1;1;0;0;0;0;0;0.6;0.6;1.3;1.9;28;28;69;0.00;0.09;0.09;0.00;0.09;0.05;0.12;0.17;0.05;0.17;Matches
