Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
24;Julián Álvarez;ar ARG;FW;Atlético Madrid;25-345;2000;19;18;1,372;15.2;7;3;10;5;2;3;2;0;6.4;4.0;4.6;8.6;41;66;86;0.46;0.20;0.66;0.33;0.52;0.42;0.30;0.72;0.26;0.56;Matches
25;Sofyan Amrabat;ma MAR;MF;Betis;29-143;1996;8;6;603;6.7;0;0;0;0;0;0;3;0;0.1;0.1;0.2;0.3;9;43;3;0.00;0.00;0.00;0.00;0.00;0.02;0.03;0.05;0.02;0.05;Matches
26;Miguel Ángel Rubio;es ESP;DF;Espanyol;27-306;1998;6;1;138;1.5;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;0;1;0;0.65;0.00;0.65;0.65;0.65;0.43;0.00;0.43;0.43;0.43;Matches
27;Miguel Ángel Sierra;es ESP;FW,MF;Sevilla;21-181;2004;2;0;26;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.08;0.08;0.08;Matches
28;Antoniu;es ESP;FW,MF;Espanyol;23-128;2002;6;1;86;1.0;0;0;0;0;0;0;0;0;0.2;0.2;0.1;0.2;5;5;9;0.00;0.00;0.00;0.00;0.00;0.16;0.10;0.25;0.16;0.25;Matches
29;Antony;br BRA;FW;Betis;25-321;2000;14;14;1,173;13.0;5;3;8;5;0;0;1;1;4.2;4.2;2.1;6.3;74;69;129;0.38;0.23;0.61;0.38;0.61;0.32;0.16;0.48;0.32;0.48;Matches
30;Mauro Arambarri;uy URU;MF;Getafe;30-103;1995;19;19;1,678;18.6;3;1;4;3;0;0;3;0;2.7;2.7;0.4;3.1;11;50;37;0.16;0.05;0.21;0.16;0.21;0.15;0.02;0.17;0.15;0.17;Matches
31;Jon Aramburu;ve VEN;DF;Real Sociedad;23-172;2002;17;16;1,442;16.0;1;0;1;1;0;0;6;0;1.5;1.5;0.3;1.7;12;65;44;0.06;0.00;0.06;0.06;0.06;0.09;0.02;0.11;0.09;0.11;Matches
32;Juan Arango;ve VEN;FW;Girona;19-224;2006;1;0;8;0.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
33;Ronald Araújo;uy URU;DF;Barcelona;26-310;1999;11;7;649;7.2;2;0;2;2;0;0;2;0;0.4;0.4;0.0;0.4;11;29;4;0.28;0.00;0.28;0.28;0.28;0.05;0.00;0.06;0.05;0.06;Matches
34;Jesús Areso;es ESP;DF;Athletic Club;26-193;1999;16;9;995;11.1;0;1;1;0;0;0;1;0;0.0;0.0;1.2;1.3;30;28;71;0.00;0.09;0.09;0.00;0.09;0.00;0.11;0.11;0.00;0.11;Matches
35;Iñigo Arguibide;es ESP;DF;Osasuna;20-267;2005;5;2;179;2.0;0;0;0;0;0;0;0;1;0.0;0.0;0.1;0.1;1;5;8;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.06;Matches
