Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
102;Marc Casado;es ESP;MF;Barcelona;22-119;2003;13;6;549;6.1;0;1;1;0;0;0;0;0;0.3;0.3;0.2;0.5;7;27;9;0.00;0.16;0.16;0.00;0.16;0.05;0.03;0.08;0.05;0.08;Matches
103;Castrin;es ESP;DF;Sevilla;23-010;2003;8;7;603;6.7;0;0;0;0;0;0;3;0;0.2;0.2;0.0;0.3;2;21;1;0.00;0.00;0.00;0.00;0.00;0.03;0.01;0.04;0.03;0.04;Matches
104;Jonny Castro;es ESP;DF;Alavés;31-314;1994;19;19;1,658;18.4;0;0;0;0;0;0;4;0;0.3;0.3;0.9;1.3;23;75;35;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.07;0.02;0.07;Matches
105;Catena;es ESP;DF;Osasuna;31-075;1994;18;18;1,62;18.0;2;1;3;2;0;0;7;0;1.6;1.6;0.3;2.0;3;43;9;0.11;0.06;0.17;0.11;0.17;0.09;0.02;0.11;0.09;0.11;Matches
106;Santi Cazorla;es ESP;MF,FW;Oviedo;41-029;1984;11;4;432;4.8;0;0;0;0;0;0;0;1;0.2;0.2;0.9;1.1;4;33;16;0.00;0.00;0.00;0.00;0.00;0.04;0.19;0.23;0.04;0.23;Matches
107;Dani Ceballos;es ESP;MF;Real Madrid;29-157;1996;11;4;367;4.1;0;0;0;0;0;0;0;0;0.0;0.0;0.3;0.4;6;40;10;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.09;0.01;0.09;Matches
108;Ilyas Chaira;ma MAR;FW,MF;Oviedo;24-343;2001;17;14;1,036;11.5;1;1;2;1;0;0;0;1;2.2;2.2;1.0;3.2;46;41;79;0.09;0.09;0.17;0.09;0.17;0.19;0.09;0.28;0.19;0.28;Matches
109;Pep Chavarría;es ESP;DF;Rayo Vallecano;27-276;1998;18;17;1,552;17.2;1;2;3;1;0;0;4;0;0.4;0.4;1.7;2.1;67;90;92;0.06;0.12;0.17;0.06;0.17;0.02;0.10;0.12;0.02;0.12;Matches
110;Andreas Christensen;dk DEN;DF;Barcelona;29-276;1996;12;3;380;4.2;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;3;16;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
111;Víctor Chust;es ESP;DF;Elche;25-312;2000;14;11;1,046;11.6;0;0;0;0;0;0;6;1;0.3;0.3;0.1;0.3;16;51;1;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.03;0.02;0.03;Matches
112;Pathé Ciss;sn SEN;MF,DF;Rayo Vallecano;31-301;1994;14;10;962;10.7;0;0;0;0;0;0;3;1;1.3;1.3;0.2;1.5;15;74;7;0.00;0.00;0.00;0.00;0.00;0.12;0.02;0.14;0.12;0.14;Matches
113;Santiago Colombatto;ar ARG;MF;Oviedo;28-359;1997;15;13;1,15;12.8;0;1;1;0;0;0;4;0;0.5;0.5;1.5;2.0;8;62;34;0.00;0.08;0.08;0.00;0.08;0.04;0.12;0.16;0.04;0.16;Matches
114;Eray Cömert;ch SUI;DF;Valencia;27-341;1998;3;1;117;1.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
115;Santi Comesaña;es ESP;MF;Villarreal;29-098;1996;17;15;1,243;13.8;2;2;4;2;0;0;3;0;2.9;2.9;1.2;4.1;15;69;44;0.14;0.14;0.29;0.14;0.29;0.21;0.08;0.29;0.21;0.29;Matches
116;Copete;es ESP;DF;Valencia;26-093;1999;16;14;1,319;14.7;0;0;0;0;0;0;4;0;1.4;1.4;0.2;1.7;6;54;3;0.00;0.00;0.00;0.00;0.00;0.10;0.02;0.11;0.10;0.11;Matches
117;Thierry Correia;pt POR;DF;Valencia;26-308;1999;14;12;934;10.4;0;1;1;0;0;0;3;0;0.3;0.3;0.7;1.0;14;41;66;0.00;0.10;0.10;0.00;0.10;0.03;0.07;0.10;0.03;0.10;Matches
118;Coba da Costa;es ESP;MF,FW;Getafe;23-169;2002;13;2;342;3.8;0;0;0;0;0;0;1;0;0.3;0.3;0.1;0.4;10;12;35;0.00;0.00;0.00;0.00;0.00;0.08;0.03;0.11;0.08;0.11;Matches
119;Samu Costa;pt POR;MF;Mallorca;25-045;2000;15;12;1,104;12.3;3;0;3;3;0;0;7;0;0.7;0.7;0.9;1.6;7;42;27;0.24;0.00;0.24;0.24;0.24;0.06;0.07;0.13;0.06;0.13;Matches
120;David Costas;es ESP;DF;Oviedo;30-291;1995;14;13;1,16;12.9;0;0;0;0;0;0;0;0;0.4;0.4;0.2;0.6;4;32;1;0.00;0.00;0.00;0.00;0.00;0.03;0.01;0.05;0.03;0.05;Matches
121;Thibaut Courtois;be BEL;GK;Real Madrid;33-245;1992;19;19;1,71;19.0;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
122;Juan Cruz Armada;es ESP;DF;Osasuna;33-167;1992;12;7;580;6.4;0;0;0;0;0;0;0;0;0.4;0.4;0.1;0.5;3;14;4;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.07;0.06;0.07;Matches
123;Pau Cubarsí;es ESP;DF;Barcelona;18-354;2007;15;15;1,297;14.4;0;0;0;0;0;0;1;0;0.3;0.3;0.4;0.7;17;77;1;0.00;0.00;0.00;0.00;0.00;0.02;0.03;0.05;0.02;0.05;Matches
124;Cucho;co COL;FW;Betis;26-266;1999;19;19;1,645;18.3;8;3;11;7;1;1;2;0;7.5;6.7;3.8;10.5;29;48;117;0.44;0.16;0.60;0.38;0.55;0.41;0.21;0.62;0.37;0.58;Matches
125;Pablo Cuñat;es ESP;GK;Levante;23-258;2002;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
126;Arnaut Danjuma;nl NED;FW,MF;Valencia;28-345;1997;18;13;1,122;12.5;3;1;4;3;0;1;0;0;3.7;2.9;1.2;4.1;48;19;82;0.24;0.08;0.32;0.24;0.32;0.30;0.10;0.40;0.23;0.33;Matches
127;Sergi Darder;es ESP;MF,FW;Mallorca;32-020;1993;18;15;1,286;14.3;0;1;1;0;0;0;3;0;1.2;1.2;2.2;3.5;31;74;48;0.00;0.07;0.07;0.00;0.07;0.09;0.16;0.24;0.09;0.24;Matches
128;Davinchi;es ESP;DF;Getafe;18-087;2007;7;4;429;4.8;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;3;11;12;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.05;0.04;0.05;Matches
129;Leander Dendoncker;be BEL;MF;Oviedo;30-271;1995;16;15;1,291;14.3;1;0;1;1;0;0;2;0;0.8;0.8;0.4;1.2;15;46;19;0.07;0.00;0.07;0.07;0.07;0.06;0.03;0.09;0.06;0.09;Matches
130;Nelson Deossa;co COL;MF;Betis;25-339;2000;10;5;407;4.5;0;0;0;0;0;0;2;0;0.3;0.3;0.2;0.5;12;19;8;0.00;0.00;0.00;0.00;0.00;0.06;0.05;0.11;0.06;0.11;Matches
131;Bambo Diaby;sn SEN;DF;Elche;28-025;1997;3;1;79;0.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
132;Mouctar Diakhaby;gn GUI;DF;Valencia;29-023;1996;8;7;543;6.0;1;0;1;1;0;0;3;0;0.5;0.5;0.0;0.6;2;18;4;0.17;0.00;0.17;0.17;0.17;0.09;0.01;0.10;0.09;0.10;Matches
133;Grady Diangana;cd COD;MF,FW;Elche;27-267;1998;9;5;334;3.7;1;0;1;1;0;0;1;0;0.3;0.3;0.1;0.5;6;9;18;0.27;0.00;0.27;0.27;0.27;0.09;0.03;0.12;0.09;0.12;Matches
134;Moussa Diarra;ml MLI;DF;Alavés;25-062;2000;3;3;216;2.4;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;3;1;5;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
135;Brahim Díaz;ma MAR;FW,MF;Real Madrid;26-161;1999;12;3;319;3.5;0;2;2;0;0;0;1;0;0.3;0.3;1.7;1.9;13;9;33;0.00;0.56;0.56;0.00;0.56;0.08;0.47;0.55;0.08;0.55;Matches
136;Pedro Díaz;es ESP;MF,FW;Rayo Vallecano;27-220;1998;15;10;836;9.3;0;0;0;0;0;0;0;0;0.7;0.7;0.6;1.2;10;30;37;0.00;0.00;0.00;0.00;0.00;0.07;0.06;0.13;0.07;0.13;Matches
137;Stole Dimitrievski;mk MKD;GK;Valencia;32-017;1993;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
138;Matías Dituro;ar ARG;GK;Elche;38-248;1987;7;7;630;7.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
139;Djené;tg TOG;DF,MF;Getafe;34-011;1991;18;16;1,314;14.6;0;0;0;0;0;0;5;0;0.1;0.1;0.0;0.2;6;28;2;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches
140;Marko Dmitrovi?;rs SRB;GK;Espanyol;33-352;1992;18;18;1,62;18.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
141;Tyrhys Dolan;eng ENG;FW,MF;Espanyol;24-014;2001;17;14;1,225;13.6;0;3;3;0;0;0;3;1;1.4;1.4;2.5;3.9;54;30;96;0.00;0.22;0.22;0.00;0.22;0.10;0.18;0.29;0.10;0.29;Matches
142;Marc Domenech;es ESP;FW,MF;Mallorca;20-010;2006;7;2;214;2.4;0;1;1;0;0;0;0;0;0.1;0.1;0.4;0.5;1;4;17;0.00;0.42;0.42;0.00;0.42;0.05;0.16;0.21;0.05;0.21;Matches
143;Carlos Dominguez;es ESP;DF;Celta Vigo;24-334;2001;6;4;436;4.8;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;2;10;0;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02;Matches
144;John Donald;es ESP;DF,MF;Elche;25-134;2000;11;3;303;3.4;1;0;1;1;0;0;1;0;0.4;0.4;0.0;0.4;2;9;6;0.30;0.00;0.30;0.30;0.30;0.10;0.00;0.10;0.10;0.10;Matches
145;Domingos Duarte;pt POR;DF;Getafe;30-307;1995;16;16;1,354;15.0;0;0;0;0;0;0;4;0;0.6;0.6;0.0;0.6;1;30;1;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches
146;Pablo Durán;es ESP;FW,MF;Celta Vigo;24-231;2001;14;8;699;7.8;2;1;3;2;0;0;0;0;2.2;2.2;0.9;3.1;5;14;49;0.26;0.13;0.39;0.26;0.39;0.28;0.12;0.40;0.28;0.40;Matches
147;Hugo Duro;es ESP;FW;Valencia;26-062;1999;18;11;1,083;12.0;6;0;6;6;0;0;4;0;4.3;4.3;0.5;4.8;4;14;49;0.50;0.00;0.50;0.50;0.50;0.36;0.04;0.40;0.36;0.40;Matches
148;Ovie Ejaria;eng ENG;MF;Oviedo;28-054;1997;7;2;180;2.0;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;7;11;6;0.00;0.00;0.00;0.00;0.00;0.07;0.04;0.11;0.07;0.11;Matches
149;Chidera Ejuke;ng NGA;FW,MF;Sevilla;28-009;1998;12;4;390;4.3;1;1;2;1;0;0;0;0;1.0;1.0;1.1;2.1;16;19;44;0.23;0.23;0.46;0.23;0.46;0.22;0.25;0.47;0.22;0.47;Matches
150;Unai Elgezabal;es ESP;DF,MF;Levante;32-261;1993;11;11;932;10.4;0;0;0;0;0;0;2;0;0.6;0.6;0.2;0.8;1;13;1;0.00;0.00;0.00;0.00;0.00;0.06;0.02;0.08;0.06;0.08;Matches
151;Aritz Elustondo;es ESP;DF;Real Sociedad;31-289;1994;8;4;337;3.7;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;2;10;2;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches
152;Endrick;br BRA;FW;Real Madrid;19-174;2006;1;0;12;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
153;Aarón Escandell;es ESP;GK;Oviedo;30-106;1995;19;19;1,71;19.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
154;Carlos Espí;es ESP;FW;Levante;20-171;2005;6;0;123;1.4;1;0;1;1;0;0;0;0;0.3;0.3;0.0;0.3;0;1;3;0.73;0.00;0.73;0.73;0.73;0.19;0.00;0.19;0.19;0.19;Matches
155;Alfonso Espino;uy URU;FW,DF;Rayo Vallecano;34-006;1992;12;3;372;4.1;1;0;1;1;0;0;0;0;1.0;1.0;0.5;1.5;5;9;38;0.24;0.00;0.24;0.24;0.24;0.23;0.13;0.36;0.23;0.36;Matches
156;Marco Esteban;es ESP;DF;Oviedo;20-010;2006;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
157;Karl Etta Eyong;cm CMR;FW;Villarreal;22-089;2003;3;3;256;2.8;1;2;3;1;0;0;0;0;0.9;0.9;0.7;1.7;3;4;10;0.35;0.70;1.05;0.35;1.05;0.33;0.26;0.59;0.33;0.59;Matches
158;Karl Etta Eyong;cm CMR;FW;Levante;22-089;2003;12;12;959;10.7;5;1;6;5;0;1;2;0;5.4;4.7;1.5;6.2;6;10;47;0.47;0.09;0.56;0.47;0.56;0.51;0.14;0.65;0.44;0.58;Matches
159;Edu Expósito;es ESP;MF;Espanyol;29-163;1996;17;15;1,182;13.1;0;5;5;0;0;0;3;0;0.9;0.9;3.9;4.8;28;93;46;0.00;0.38;0.38;0.00;0.38;0.07;0.30;0.36;0.07;0.36;Matches
160;Abde Ezzalzouli;ma MAR;FW;Betis;24-025;2001;11;9;780;8.7;3;3;6;3;0;0;1;0;3.6;3.6;3.0;6.5;45;22;90;0.35;0.35;0.69;0.35;0.69;0.41;0.34;0.75;0.41;0.75;Matches
161;Omar Falah;es ESP;DF,MF;Oviedo;22-124;2003;1;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
162;Aleix Febas;es ESP;MF;Elche;29-343;1996;19;19;1,702;18.9;1;1;2;1;0;0;4;0;1.4;1.4;0.8;2.2;63;136;68;0.05;0.05;0.11;0.05;0.11;0.08;0.04;0.12;0.08;0.12;Matches
163;Luiz Felipe;it ITA;DF;Rayo Vallecano;28-295;1997;7;5;282;3.1;0;0;0;0;0;0;1;0;0.4;0.4;0.0;0.4;2;6;0;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12;Matches
164;Kiko Femenía;es ESP;DF,FW;Getafe;34-343;1991;15;13;1,043;11.6;0;1;1;0;0;0;2;0;0.1;0.1;0.6;0.7;16;42;34;0.00;0.09;0.09;0.00;0.09;0.01;0.06;0.06;0.01;0.06;Matches
165;Manu Fernández;es ESP;DF;Celta Vigo;24-263;2001;10;8;642;7.1;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;5;27;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches
166;Pedro Fernandez;es ESP;FW,MF;Barcelona;17-364;2008;4;1;92;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;5;6;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.06;Matches
167;Pelayo Fernandez;es ESP;DF;Rayo Vallecano;22-257;2003;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches
168;Roberto Férnandez;es ESP;FW;Espanyol;23-192;2002;18;14;1,287;14.3;4;2;6;3;1;1;1;0;5.1;4.3;3.0;7.3;13;15;55;0.28;0.14;0.42;0.21;0.35;0.36;0.21;0.57;0.30;0.51;Matches
169;Toni Fernández;es ESP;FW;Barcelona;17-180;2008;1;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.00;0.15;Matches
170;Junior Firpo;do DOM;DF;Betis;29-142;1996;8;6;539;6.0;0;1;1;0;0;0;2;0;0.4;0.4;0.6;1.0;7;25;30;0.00;0.17;0.17;0.00;0.17;0.07;0.10;0.17;0.07;0.17;Matches
171;Nicolas Fonseca;uy URU;MF;Oviedo;27-084;1998;2;0;51;0.6;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.06;0.03;0.06;Matches
172;Álex Forés;es ESP;FW;Oviedo;24-274;2001;12;2;274;3.0;0;1;1;0;0;0;0;0;1.0;1.0;0.0;1.1;4;0;13;0.00;0.33;0.33;0.00;0.33;0.33;0.01;0.35;0.33;0.35;Matches
173;Pablo Fornals;es ESP;MF;Betis;29-323;1996;19;19;1,569;17.4;4;4;8;4;0;0;1;0;2.4;2.4;3.3;5.7;30;135;87;0.23;0.23;0.46;0.23;0.46;0.14;0.19;0.33;0.14;0.33;Matches
174;Héctor Fort;es ESP;DF;Elche;19-162;2006;9;5;327;3.6;1;2;3;1;0;0;0;0;0.5;0.5;0.4;0.9;18;10;30;0.28;0.55;0.83;0.28;0.83;0.15;0.11;0.25;0.15;0.25;Matches
175;Dimitri Foulquier;fr FRA;DF;Valencia;32-294;1993;12;9;880;9.8;0;0;0;0;0;0;0;0;0.5;0.5;0.2;0.7;7;30;19;0.00;0.00;0.00;0.00;0.00;0.05;0.03;0.08;0.05;0.08;Matches
176;Juan Foyth;ar ARG;DF;Villarreal;27-364;1998;11;10;821;9.1;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;2;33;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches
177;Alejandro Francés;es ESP;DF;Girona;23-163;2002;10;5;441;4.9;0;0;0;0;0;0;1;1;0.1;0.1;0.6;0.7;8;16;6;0.00;0.00;0.00;0.00;0.00;0.01;0.11;0.12;0.01;0.12;Matches
178;Jorge de Frutos;es ESP;FW,MF;Rayo Vallecano;28-325;1997;16;16;1,169;13.0;5;1;6;5;0;0;1;0;3.9;3.9;1.9;5.8;34;21;85;0.38;0.08;0.46;0.38;0.46;0.30;0.14;0.44;0.30;0.44;Matches
179;Javi Galán;es ESP;DF;Osasuna;31-053;1994;2;2;164;1.8;0;0;0;0;0;0;1;0;0.0;0.0;0.4;0.4;4;6;3;0.00;0.00;0.00;0.00;0.00;0.00;0.21;0.21;0.00;0.21;Matches
180;Javi Galán;es ESP;DF;Atlético Madrid;31-053;1994;5;1;134;1.5;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;5;1;9;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;Matches
181;Iñigo Ruiz de Galarreta;es ESP;MF;Athletic Club;32-158;1993;17;16;1,092;12.1;0;0;0;0;0;0;8;0;0.3;0.3;1.0;1.2;10;95;17;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.10;0.02;0.10;Matches
182;Conor Gallagher;eng ENG;MF;Atlético Madrid;25-339;2000;19;4;679;7.5;2;0;2;2;0;0;2;0;1.1;1.1;0.5;1.6;19;26;34;0.27;0.00;0.27;0.27;0.27;0.15;0.06;0.21;0.15;0.21;Matches
183;Facundo Garcés;my MAS;DF;Alavés;26-128;1999;6;6;540;6.0;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.1;0;4;1;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
184;Álvaro García;es ESP;FW,MF;Rayo Vallecano;33-076;1992;18;14;1,244;13.8;3;1;4;3;0;0;2;0;5.1;5.1;2.9;7.9;19;22;116;0.22;0.07;0.29;0.22;0.29;0.37;0.21;0.57;0.37;0.57;Matches
185;Eric García;es ESP;DF,MF;Barcelona;25-002;2001;19;17;1,468;16.3;1;0;1;1;0;0;1;0;2.4;2.4;1.3;3.7;16;111;30;0.06;0.00;0.06;0.06;0.06;0.15;0.08;0.23;0.15;0.23;Matches
186;Fran Garcia;es ESP;DF;Real Madrid;26-150;1999;7;5;414;4.6;1;0;1;1;0;0;2;1;0.7;0.7;0.1;0.8;11;11;52;0.22;0.00;0.22;0.22;0.22;0.15;0.01;0.17;0.15;0.17;Matches
187;Gonzalo García;es ESP;FW,MF;Real Madrid;21-293;2004;14;2;265;2.9;3;0;3;3;0;0;0;0;2.5;2.5;0.3;2.8;1;5;13;1.02;0.00;1.02;1.02;1.02;0.85;0.10;0.94;0.85;0.94;Matches
188;Joan García;es ESP;GK;Barcelona;24-252;2001;13;13;1,17;13.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
189;Pablo Garcia;es ESP;FW;Betis;19-212;2006;11;2;298;3.3;0;0;0;0;0;0;1;0;1.1;1.1;0.1;1.1;12;7;29;0.00;0.00;0.00;0.00;0.00;0.32;0.02;0.34;0.32;0.34;Matches
190;Rubén García;es ESP;FW,MF;Osasuna;32-181;1993;17;11;942;10.5;2;4;6;2;0;0;1;0;0.9;0.9;2.2;3.1;10;30;47;0.19;0.38;0.57;0.19;0.57;0.09;0.21;0.30;0.09;0.30;Matches
191;Víctor García;es ESP;DF,MF;Levante;28-117;1997;10;4;351;3.9;0;0;0;0;0;0;0;0;0.2;0.2;0.3;0.4;11;7;19;0.00;0.00;0.00;0.00;0.00;0.04;0.07;0.11;0.04;0.11;Matches
192;Gavi;es ESP;MF,DF;Barcelona;21-159;2004;2;0;67;0.7;0;1;1;0;0;0;0;0;0.0;0.0;0.2;0.2;1;11;3;0.00;1.34;1.34;0.00;1.34;0.00;0.23;0.23;0.00;0.23;Matches
193;Paulo Gazzaniga;ar ARG;GK;Girona;34-009;1992;18;18;1,572;17.5;0;0;0;0;0;0;2;1;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
194;Mourad El Ghezouani;ma MAR;FW;Elche;27-229;1998;2;0;50;0.6;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;1;4;0.00;0.00;0.00;0.00;0.00;0.12;0.04;0.15;0.12;0.15;Matches
195;Bryan Gil;es ESP;FW,MF;Girona;24-334;2001;16;10;852;9.5;0;3;3;0;0;0;4;0;1.8;1.8;1.3;3.1;40;23;81;0.00;0.32;0.32;0.00;0.32;0.19;0.14;0.33;0.19;0.33;Matches
196;Moi Gómez;es ESP;MF;Osasuna;31-202;1994;15;9;845;9.4;0;0;0;0;0;0;1;0;0.2;0.2;0.7;0.9;12;81;20;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.10;0.02;0.10;Matches
197;Sergio Gómez;es ESP;DF;Real Sociedad;25-129;2000;19;15;1,364;15.2;0;0;0;0;0;0;1;0;0.8;0.8;2.4;3.1;18;76;71;0.00;0.00;0.00;0.00;0.00;0.05;0.16;0.21;0.05;0.21;Matches
198;Unai Gómez;es ESP;FW,MF;Athletic Club;22-231;2003;11;2;316;3.5;0;0;0;0;0;0;0;0;0.5;0.5;0.2;0.7;4;7;18;0.00;0.00;0.00;0.00;0.00;0.15;0.06;0.21;0.15;0.21;Matches
199;Valentín Gómez;ar ARG;DF;Betis;22-199;2003;14;9;924;10.3;1;0;1;1;0;0;3;0;0.7;0.7;0.4;1.1;8;29;22;0.10;0.00;0.10;0.10;0.10;0.07;0.04;0.10;0.07;0.10;Matches
200;Nicolás González;ar ARG;MF,DF;Atlético Madrid;27-280;1998;15;13;931;10.3;1;0;1;1;0;0;2;0;2.1;2.1;1.3;3.4;22;27;72;0.10;0.00;0.10;0.10;0.10;0.20;0.13;0.33;0.20;0.33;Matches
201;Urko González;es ESP;MF;Espanyol;24-297;2001;16;10;982;10.9;0;1;1;0;0;0;3;0;0.2;0.2;0.1;0.4;5;34;7;0.00;0.09;0.09;0.00;0.09;0.02;0.01;0.03;0.02;0.03;Matches
202;Urko González;es ESP;MF;Real Sociedad;24-297;2001;1;0;11;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
203;Andoni Gorosabel;es ESP;DF;Athletic Club;29-160;1996;9;6;483;5.4;0;1;1;0;0;0;2;0;0.2;0.2;0.3;0.5;10;27;39;0.00;0.19;0.19;0.00;0.19;0.04;0.05;0.09;0.04;0.09;Matches
204;Jon Gorrotxategi;es ESP;MF;Real Sociedad;23-343;2002;17;15;1,339;14.9;1;1;2;1;0;0;6;0;0.6;0.6;0.5;1.1;14;61;12;0.07;0.07;0.13;0.07;0.13;0.04;0.03;0.07;0.04;0.07;Matches
205;Mikel Goti;es ESP;MF;Real Sociedad;23-233;2002;4;1;76;0.8;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;2;6;7;0.00;0.00;0.00;0.00;0.00;0.41;0.00;0.41;0.41;0.41;Matches
206;Antoine Griezmann;fr FRA;FW,MF;Atlético Madrid;34-296;1991;19;5;702;7.8;6;0;6;6;0;0;0;0;4.8;4.8;0.9;5.7;10;39;60;0.77;0.00;0.77;0.77;0.77;0.62;0.12;0.74;0.62;0.74;Matches
207;Nemanja Gudelj;rs SRB;MF,DF;Sevilla;34-056;1991;15;10;978;10.9;1;0;1;1;0;0;4;0;0.5;0.5;0.1;0.6;4;27;2;0.09;0.00;0.09;0.09;0.09;0.05;0.01;0.06;0.05;0.06;Matches
208;Gonçalo Guedes;pt POR;MF,FW;Real Sociedad;29-043;1996;19;13;970;10.8;4;1;5;4;0;0;1;0;2.1;2.1;1.1;3.2;27;32;102;0.37;0.09;0.46;0.37;0.46;0.20;0.10;0.30;0.20;0.30;Matches
209;Javier Guerra;es ESP;MF;Valencia;23-010;2003;19;13;1,025;11.4;0;2;2;0;0;0;2;0;1.1;1.1;1.6;2.7;23;62;26;0.00;0.18;0.18;0.00;0.18;0.10;0.14;0.23;0.10;0.23;Matches
210;Daniel Guerrero;es ESP;MF;Betis;20-169;2005;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
211;Ander Guevara;es ESP;MF;Alavés;28-188;1997;12;2;387;4.3;1;0;1;1;0;0;2;0;0.1;0.1;0.1;0.2;3;23;5;0.23;0.00;0.23;0.23;0.23;0.03;0.01;0.05;0.03;0.05;Matches
